run,measurement,repetition,module,name,value
queueLengthConsistencyTest-100-20260130-15:38:52-88334,0.004s,30,System.oracle,AvgQLStat:mean,2399.326
queueLengthConsistencyTest-101-20260130-15:38:53-88335,0.004s,31,System.oracle,AvgQLStat:mean,2426.4933333333
queueLengthConsistencyTest-102-20260130-15:38:53-88336,0.004s,32,System.oracle,AvgQLStat:mean,2420.2946666667
queueLengthConsistencyTest-103-20260130-15:38:53-88337,0.004s,33,System.oracle,AvgQLStat:mean,2420.7093333333
queueLengthConsistencyTest-104-20260130-15:38:54-88338,0.004s,34,System.oracle,AvgQLStat:mean,2421.3875555556
queueLengthConsistencyTest-35-20260130-15:38:32-88262,0.008s,0,System.oracle,AvgQLStat:mean,1162.9593333333
queueLengthConsistencyTest-36-20260130-15:38:32-88263,0.008s,1,System.oracle,AvgQLStat:mean,1165.1713333333
queueLengthConsistencyTest-37-20260130-15:38:33-88264,0.008s,2,System.oracle,AvgQLStat:mean,1162.6571111111
queueLengthConsistencyTest-38-20260130-15:38:33-88265,0.008s,3,System.oracle,AvgQLStat:mean,1161.7157777778
queueLengthConsistencyTest-39-20260130-15:38:33-88266,0.008s,4,System.oracle,AvgQLStat:mean,1175.0384444444
queueLengthConsistencyTest-40-20260130-15:38:33-88267,0.008s,5,System.oracle,AvgQLStat:mean,1179.4555555556
queueLengthConsistencyTest-41-20260130-15:38:34-88268,0.008s,6,System.oracle,AvgQLStat:mean,1156.7997777778
queueLengthConsistencyTest-42-20260130-15:38:34-88269,0.008s,7,System.oracle,AvgQLStat:mean,1176.1695555556
queueLengthConsistencyTest-43-20260130-15:38:34-88270,0.008s,8,System.oracle,AvgQLStat:mean,1171.3842222222
queueLengthConsistencyTest-44-20260130-15:38:34-88271,0.008s,9,System.oracle,AvgQLStat:mean,1162.4335555556
queueLengthConsistencyTest-45-20260130-15:38:34-88272,0.008s,10,System.oracle,AvgQLStat:mean,1171.2015555556
queueLengthConsistencyTest-46-20260130-15:38:35-88273,0.008s,11,System.oracle,AvgQLStat:mean,1177.6297777778
queueLengthConsistencyTest-47-20260130-15:38:35-88274,0.008s,12,System.oracle,AvgQLStat:mean,1162.2882222222
queueLengthConsistencyTest-48-20260130-15:38:35-88275,0.008s,13,System.oracle,AvgQLStat:mean,1176.2451111111
queueLengthConsistencyTest-49-20260130-15:38:35-88276,0.008s,14,System.oracle,AvgQLStat:mean,1173.2026666667
queueLengthConsistencyTest-50-20260130-15:38:36-88277,0.008s,15,System.oracle,AvgQLStat:mean,1154.2628888889
queueLengthConsistencyTest-51-20260130-15:38:36-88278,0.008s,16,System.oracle,AvgQLStat:mean,1175.2108888889
queueLengthConsistencyTest-52-20260130-15:38:36-88280,0.008s,17,System.oracle,AvgQLStat:mean,1175.6848888889
queueLengthConsistencyTest-53-20260130-15:38:36-88281,0.008s,18,System.oracle,AvgQLStat:mean,1164.0411111111
queueLengthConsistencyTest-54-20260130-15:38:37-88282,0.008s,19,System.oracle,AvgQLStat:mean,1167.0108888889
queueLengthConsistencyTest-55-20260130-15:38:37-88283,0.008s,20,System.oracle,AvgQLStat:mean,1169.5802222222
queueLengthConsistencyTest-56-20260130-15:38:37-88284,0.008s,21,System.oracle,AvgQLStat:mean,1168.5282222222
queueLengthConsistencyTest-57-20260130-15:38:37-88285,0.008s,22,System.oracle,AvgQLStat:mean,1164.0677777778
queueLengthConsistencyTest-58-20260130-15:38:37-88286,0.008s,23,System.oracle,AvgQLStat:mean,1167.7733333333
queueLengthConsistencyTest-59-20260130-15:38:38-88287,0.008s,24,System.oracle,AvgQLStat:mean,1174.3891111111
queueLengthConsistencyTest-60-20260130-15:38:38-88288,0.008s,25,System.oracle,AvgQLStat:mean,1174.5248888889
queueLengthConsistencyTest-61-20260130-15:38:38-88289,0.008s,26,System.oracle,AvgQLStat:mean,1169.6144444444
queueLengthConsistencyTest-62-20260130-15:38:38-88290,0.008s,27,System.oracle,AvgQLStat:mean,1171.5346666667
queueLengthConsistencyTest-63-20260130-15:38:38-88291,0.008s,28,System.oracle,AvgQLStat:mean,1161.8946666667
queueLengthConsistencyTest-64-20260130-15:38:39-88292,0.008s,29,System.oracle,AvgQLStat:mean,1165.0542222222
queueLengthConsistencyTest-65-20260130-15:38:39-88293,0.008s,30,System.oracle,AvgQLStat:mean,1156.5466666667
queueLengthConsistencyTest-66-20260130-15:38:39-88294,0.008s,31,System.oracle,AvgQLStat:mean,1175.9773333333
queueLengthConsistencyTest-67-20260130-15:38:39-88295,0.008s,32,System.oracle,AvgQLStat:mean,1173.4886666667
queueLengthConsistencyTest-68-20260130-15:38:39-88296,0.008s,33,System.oracle,AvgQLStat:mean,1174.0597777778
queueLengthConsistencyTest-69-20260130-15:38:40-88297,0.008s,34,System.oracle,AvgQLStat:mean,1175.3071111111
queueLengthConsistencyTest-0-20260130-15:38:25-88211,0.016s,0,System.oracle,AvgQLStat:mean,548.442
queueLengthConsistencyTest-1-20260130-15:38:25-88212,0.016s,1,System.oracle,AvgQLStat:mean,551.314
queueLengthConsistencyTest-2-20260130-15:38:25-88213,0.016s,2,System.oracle,AvgQLStat:mean,544.66444444444
