run,measurement,repetition,module,name,value
queueLengthContinuityTest-76-20260108-11:50:56-50248,0.013s,16,System.oracle,AvgQLStat:mean,699.48777777778
queueLengthContinuityTest-77-20260108-11:50:56-50249,0.013s,17,System.oracle,AvgQLStat:mean,701.02955555556
queueLengthContinuityTest-78-20260108-11:50:56-50250,0.013s,18,System.oracle,AvgQLStat:mean,689.69355555556
queueLengthContinuityTest-79-20260108-11:50:56-50251,0.013s,19,System.oracle,AvgQLStat:mean,697.88488888889
queueLengthContinuityTest-40-20260108-11:50:46-50196,0.014s,0,System.oracle,AvgQLStat:mean,645.858
queueLengthContinuityTest-41-20260108-11:50:46-50200,0.014s,1,System.oracle,AvgQLStat:mean,647.52244444444
queueLengthContinuityTest-42-20260108-11:50:47-50202,0.014s,2,System.oracle,AvgQLStat:mean,647.11466666667
queueLengthContinuityTest-43-20260108-11:50:47-50203,0.014s,3,System.oracle,AvgQLStat:mean,640.97177777778
queueLengthContinuityTest-44-20260108-11:50:47-50204,0.014s,4,System.oracle,AvgQLStat:mean,642.17444444444
queueLengthContinuityTest-45-20260108-11:50:47-50205,0.014s,5,System.oracle,AvgQLStat:mean,642.10355555556
queueLengthContinuityTest-46-20260108-11:50:47-50206,0.014s,6,System.oracle,AvgQLStat:mean,645.99777777778
queueLengthContinuityTest-47-20260108-11:50:48-50207,0.014s,7,System.oracle,AvgQLStat:mean,640.46888888889
queueLengthContinuityTest-48-20260108-11:50:48-50209,0.014s,8,System.oracle,AvgQLStat:mean,643.54244444444
queueLengthContinuityTest-49-20260108-11:50:48-50210,0.014s,9,System.oracle,AvgQLStat:mean,633.92955555556
queueLengthContinuityTest-50-20260108-11:50:48-50211,0.014s,10,System.oracle,AvgQLStat:mean,633.42044444444
queueLengthContinuityTest-51-20260108-11:50:49-50212,0.014s,11,System.oracle,AvgQLStat:mean,644.71711111111
queueLengthContinuityTest-52-20260108-11:50:49-50213,0.014s,12,System.oracle,AvgQLStat:mean,637.82311111111
queueLengthContinuityTest-53-20260108-11:50:49-50214,0.014s,13,System.oracle,AvgQLStat:mean,633.03355555556
queueLengthContinuityTest-54-20260108-11:50:49-50215,0.014s,14,System.oracle,AvgQLStat:mean,650.28066666667
queueLengthContinuityTest-55-20260108-11:50:49-50216,0.014s,15,System.oracle,AvgQLStat:mean,653.43266666667
queueLengthContinuityTest-56-20260108-11:50:50-50217,0.014s,16,System.oracle,AvgQLStat:mean,644.35111111111
